"order_id","branch_name","is_customer","customer_id","customer_profession","customer_income","purchase_date","purchase_time","product_line","unit_price","quantity","tax_amount","customer_gender","payment_method"
"Irbid 1","Irbid","TRUE","255","Lawyer","34348.58",2023-11-07,"14:26:15","42","30.4","5","24.32","male","CliQ"
"Irbid 1","Irbid","TRUE","255","Lawyer","34348.58",2021-03-30,"11:18:46","9","36.11","1","5.78","male","Visa"
"Irbid 1","Irbid","TRUE","255","Lawyer","34348.58",2024-02-10,"19:12:43","11","28.82","6","27.67","male","Cash"
"Irbid 1","Irbid","TRUE","255","Lawyer","34348.58",2019-08-04,"08:23:31","1","26.18","2","8.38","male","Cash"
"Irbid 1","Irbid","TRUE","255","Lawyer","34348.58",2016-09-29,"14:38:22","34","46.31","2","14.82","male","CliQ"
"Irbid 2","Irbid","FALSE","198","Government Employee","8912.29",2019-02-05,"06:23:35","29","95.33","1","15.25","female","CliQ"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2024-11-30,"06:45:26","47","62.5","4","40","female","Cash"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2022-12-19,"12:17:32","51","9.65","5","7.72","female","Cash"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2022-08-23,"09:01:10","32","42.73","10","68.37","female","CliQ"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2023-02-04,"11:57:21","1","7.55","6","7.25","female","Cash"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2022-01-25,"15:28:22","34","64.83","4","41.49","female","CliQ"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2018-03-04,"06:43:00","15","24.34","9","35.05","female","CliQ"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2022-07-10,"10:33:16","10","25.88","8","33.13","female","Visa"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2017-08-30,"15:55:21","5","30.64","4","19.61","female","Visa"
"Irbid 3","Irbid","TRUE","446","Government Employee","9093.27",2022-12-06,"22:08:30","53","20.63","6","19.8","female","Cash"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2018-08-04,"18:54:51","40","99.67","1","15.95","male","Cash"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2024-06-13,"06:49:53","15","22.7","4","14.53","male","Visa"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2020-01-15,"17:06:53","32","80.23","6","77.02","male","CliQ"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2018-01-11,"06:52:30","7","85.32","3","40.95","male","Visa"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2024-09-02,"02:47:21","14","93.38","4","59.76","male","Visa"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2024-10-27,"04:19:27","42","73.09","4","46.78","male","CliQ"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2024-09-15,"21:03:46","48","58.55","2","18.74","male","Visa"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2024-07-14,"05:46:26","25","14.8","2","4.74","male","CliQ"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2019-10-31,"05:26:18","3","9.88","10","15.81","male","CliQ"
"Irbid 4","Irbid","FALSE","421","Retired","5751.59",2020-03-08,"11:25:15","23","80.56","4","51.56","male","CliQ"
