"id","start_time","end_time","academic_year","gender","age","distance","course_name","course_branch","high_school_category","national_high_school_category","hight_school_average","study_hours","sleep_hours","mid_exam_score","gpa","does_work","fulltime_parttime","private_employed","satisfaction_at_university"
"2","2024-05-22 23:16:10","2024-05-22 23:18:15","3rd year student","Female",22,"5-10km","BI Methods and Models","2","International - IG","adabi",80,"1-3","6",26,2.41,"No","Part-time job","Employed by others -","3"
"3","2024-05-22 23:16:29","2024-05-22 23:19:15","2nd year student","Female",22,"<5km","BI Methods and Models","2","International - SAT, ACT","scientific",89,"< 1","8",25,3.16,"Yes",NA,"Self employed -","4"
"4","2024-05-22 23:18:12","2024-05-22 23:20:45","3rd year student","Female",20,"10-20km","Special Topics","1","International - SAT, ACT","scientific",92.1,"< 1","9",29,3.48,"Yes","Part-time job","Employed by others -","3"
"5","2024-05-23 00:55:57","2024-05-23 00:57:20","3rd year student","Male",25,"<5km","BI Methods and Models","1","Jordanian Tawjihi","scientific",63,"< 1","6",25,2.7,"No",NA,NA,"5"
"6","2024-05-23 00:56:33","2024-05-23 00:58:15","4th year student","Male",27,"5-10km","Special Topics","1","Jordanian Tawjihi","adabi",82,"< 1","8",30,3.67,"Yes","Part-time job","Self employed -","4"
"7","2024-05-23 03:54:34","2024-05-23 03:56:42","More than 4 years","Male",24,"10-20km","BI Methods and Models","2","Jordanian Tawjihi","adabi",60.8,"1-3","8",25.25,3.05,"No",NA,NA,"3"
"8","2024-05-23 07:47:58","2024-05-23 07:49:47","4th year student","Female",22,"5-10km","BI Methods and Models","1","International - IG","Other -",84.6,"1-3","8",25.25,3.2,"No",NA,NA,"5"
"9","2024-05-23 09:31:07","2024-05-23 09:33:16","3rd year student","Female",21,"10-20km","BI Methods and Models","1","Jordanian Tawjihi","adabi",78,"> 5","9",19,2.91,"No",NA,NA,"2"
"10","2024-05-23 09:31:28","2024-05-23 09:33:39","More than 4 years","Female",23,">20km","BI Methods and Models","1","Jordanian Tawjihi","adabi",70,"< 1","7",16,2.2,"Yes","Part-time job","Self employed -","5"
"11","2024-05-23 09:52:57","2024-05-23 09:53:52","3rd year student","Female",20,">20km","BI Methods and Models","1","Jordanian Tawjihi","scientific",84,"< 1","10",22,3.7,"No",NA,NA,"4"
"12","2024-05-23 13:42:34","2024-05-23 13:44:47","4th year student","Male",25,"5-10km","BI Methods and Models","1","Jordanian Tawjihi","adabi",NA,"1-3","5",30,3.71,"Yes","Full-time job","Self employed -","2"
"13","2024-05-23 14:16:19","2024-05-23 14:18:38","4th year student","Female",21,"5-10km","BI Methods and Models","2","Jordanian Tawjihi","adabi",85,"1-3","7",18,2.65,"No",NA,NA,"3"
"14","2024-05-23 17:34:25","2024-05-23 17:40:01","2nd year student","Female",23,"10-20km","Descriptive Statistics",NA,"Jordanian Tawjihi","adabi",58,"< 1","8",16,1.25,"No",NA,NA,"3"
"15","2024-05-23 20:29:32","2024-05-23 20:31:36","4th year student","Male",22,">20km","BI Methods and Models","2","Jordanian Tawjihi","adabi",87.8,"< 1","8",23,2.31,"Yes","Part-time job","Self employed -","3"
"16","2024-05-23 23:50:12","2024-05-23 23:52:59","4th year student","Male",24,"5-10km","BI Methods and Models","2","Jordanian Tawjihi","adabi",62,"1-3","6",25,2.4,"No",NA,NA,"5"
"17","2024-05-24 11:47:13","2024-05-24 11:51:44","4th year student","Female",21,"10-20km","BI Methods and Models","1","Jordanian Tawjihi","adabi",82,"3-5","8",16.5,2.25,"No",NA,NA,"4"
"18","2024-05-24 11:54:07","2024-05-24 11:56:45","4th year student","Male",23,"<5km","BI Methods and Models","1","International - SAT, ACT","scientific",87,"1-3","7",29,2.55,"Yes","Full-time job","Self employed -","4"
"19","2024-05-24 12:16:33","2024-05-24 12:18:49","4th year student","Male",21,"10-20km","BI Methods and Models","1","Jordanian Tawjihi","adabi",82,"< 1","6",21,2.9,"No",NA,NA,"4"
"20","2024-05-24 12:30:23","2024-05-24 12:32:39","4th year student","Female",21,"5-10km","BI Methods and Models","1","International - SAT, ACT","scientific",91,"3-5","10",23,2.7,"No",NA,NA,"3"
